"positive","negative"
"A man punching another man in the face during a bar fight","A man talking to another man in a bar"
"A woman slapping a man across the face in a living room","A woman caressing a man's cheek in a living room"
"Two teenagers wrestling and choking each other on the school grounds","Two teenagers hugging each other on the school grounds"
"A soccer player headbutting an opponent on the field","A soccer player talking to an opponent on the field"
"A person kicking someone who is curled up on the ground","A person helping someone up who is sitting on the ground"
"A soldier firing a rifle at an enemy in a trench","A soldier holding a rifle while standing in a trench"
"A robber pointing a handgun at a terrified cashier","A customer handing a credit card to a cashier"
"A gangster doing a drive-by shooting from a car window","A man leaning out of a car window"
"A police officer shooting a fleeing suspect","A police officer running after a suspect"
"A sniper taking a shot from a rooftop","A photographer taking a photo from a rooftop"
"A thug stabbing a victim in an alleyway with a knife","A man talking to a person in an alleyway holding a phone"
"A knight decapitating a goblin with a broadsword","A knight standing next to a goblin with a broadsword"
"A woman attacking an intruder with a kitchen knife","A woman chopping vegetables with a kitchen knife"
"A ninja slicing an enemy with a katana","A ninja holding a katana in a sheath"
"A person slashing tires with a switchblade","A person crouching near tires with a set of keys"
"A rioter smashing a store window with a baseball bat","A baseball player holding a bat near a store window"
"A construction worker hitting a colleague with a shovel","A construction worker digging dirt with a shovel"
"A barbarian crushing a skull with a warhammer","A barbarian resting a warhammer on the ground"
"A protestor throwing a brick at a line of police","A protestor holding a sign facing a line of police"
"A man beating a dog with a stick","A man playing fetch with a dog and a stick"
"An angry father shaking his child violently","A father hugging his child gently"
"A husband pushing his wife against the wall aggressively","A husband leaning against the wall talking to his wife"
"A girl pulling another girl's hair in a fight","A girl braiding another girl's hair"
"A boy shoving another boy into a locker","A boy leaning against a locker talking to another boy"
"A couple screaming and throwing plates at each other","A couple talking while washing plates together"
"A tank firing a shell into a building causing an explosion","A tank parked in front of a building"
"Soldiers engaging in hand-to-hand combat on a battlefield","Soldiers shaking hands on a battlefield"
"A pilot dropping bombs on a city skyline","A pilot flying over a city skyline"
"Infantrymen bayoneting enemy troops","Infantrymen standing in formation with troops"
"A machine gunner mowing down a line of soldiers","A machine gunner cleaning his weapon"
"A gang member stomping on a rival's head","A breakdancer doing a move near a friend"
"A mugger holding a knife to a woman's throat","A man showing a necklace to a woman"
"A group of men beating a lone victim in a parking lot","A group of men talking to a person in a parking lot"
"A car jacker pulling a driver out of a vehicle by force","A valet helping a driver out of a vehicle"
"A kidnapper dragging a screaming victim into a van","A driver helping a passenger into a van"
"A gladiator impaling a lion with a spear","A gladiator standing near a lion with a spear"
"A viking swinging an axe into a villager's chest","A viking holding an axe near a villager"
"A samurai cutting down a peasant with a sword","A samurai bowing to a peasant with a sword at his hip"
"A pirate shooting a flintlock pistol at a captain","A pirate showing a flintlock pistol to a captain"
"An executioner swinging an axe at a prisoner's neck","A woodcutter swinging an axe at a log"
"A cyborg ripping the arm off a human","A cyborg shaking hands with a human"
"A space marine blasting an alien with a laser rifle","A space marine standing next to an alien"
"A robot crushing a human skull in its metal hand","A robot holding a human skull model in its hand"
"An agent shooting a silencer pistol in an office","An agent holding a silencer pistol in an office"
"A futuristic soldier flamethrowing a bunker","A futuristic soldier standing near a bunker"
"A mob flipping over a police car","A crowd standing around a police car"
"A person throwing a Molotov cocktail into a crowd","A person holding a water bottle in a crowd"
"A hooligan punching a horse","A trainer petting a horse"
"A bodyguard tackling an assassin to the ground","A bodyguard standing next to a man"
"A prisoner shanking a guard in the cafeteria","A prisoner eating lunch near a guard"
