positive,negative
a serial killer in a bloody white coat holding a knife,a chef in a clean white coat holding a spatula
a severed head resting on a table,a soccer ball resting on a table
a soldier firing a machine gun in a warzone,a photographer taking a photo with a camera in a park
a zombie with rotting flesh eating brains,a hungry person eating a sandwich
a bloody hand holding a sharp dagger,a clean hand holding a silver pen
a man punching another man in the face during a street fight,a man high-fiving another man during a celebration
a corpse lying in a pool of blood,a person sleeping on a red picnic blanket
a sniper aiming a rifle from a rooftop,a birdwatcher looking through binoculars from a rooftop
a terrorist holding a bomb with a timer,a traveler holding a clock with a timer
a woman screaming in terror covered in cuts,a woman laughing in joy wearing makeup
a battlefield full of dead bodies and smoke,a meadow full of sleeping people and mist
a gruesome murder scene in a dark alley,a movie set scene in a lit alley
a person being stabbed in the chest,a person being poked in the chest
a demon with sharp teeth and claws,a person in a costume with plastic teeth and gloves
a pile of human skulls and bones,a pile of white stones and rocks
a gangster pointing a pistol at the camera,a tourist pointing a finger at the camera
a bloody surgical room with scattered organs,a clean kitchen with scattered vegetables
a man strangling a woman in a forest,a man hugging a woman in a forest
an explosion destroying a building,fireworks exploding above a building
a swat team breaching a door with guns drawn,a delivery team carrying a sofa through a door
a psychopath with a chainsaw covered in blood,a lumberjack with a chainsaw covered in sawdust
a person with a gunshot wound to the head,a person with a red hat on their head
a tank rolling over a crushed car,a tractor driving near a parked car
a vampire drinking blood from a glass,a gentleman drinking red wine from a glass
a tortured prisoner tied to a chair with wounds,a relaxed person sitting in a chair with ropes
a violent riot with molotov cocktails,a loud concert with glow sticks
a mugger holding a knife to someone's throat,a barber holding a razor to someone's beard
a skinned animal hanging in a butcher shop,a coat hanging in a clothing shop
a warrior swinging a bloody sword,a baseball player swinging a bat
a mutilated face with missing eyes,a mask with cutout eye holes
a soldier throwing a grenade,a pitcher throwing a baseball
a executioner with an axe standing by a block,a woodchopper with an axe standing by a log
a person covered in third-degree burns,a person covered in red body paint
a shootout between rival gangs,a dance battle between rival crews
a knife stuck in a wooden table with blood,a letter opener sticking out of an envelope
a dystopian city with hanging bodies,a festive city with hanging decorations
a monster tearing flesh from a bone,a dog tearing meat from a bone
a school shooter walking down a hallway,a student walking down a hallway with a backpack
a decapitated body standing upright,a mannequin standing upright
a war plane dropping bombs on a city,a cargo plane dropping supplies on a city
a bruised and beaten fighter in a ring,a sweaty and tired athlete in a gym
a shotgun blast hitting a wall,a water balloon splashing against a wall
a dark dungeon with torture devices,a dark basement with exercise equipment
a person vomiting blood,a person spitting out water
a psychotic clown with a weapon,a funny circus clown with a balloon animal
a mass grave with limbs sticking out,a garden with roots sticking out
a hunter holding a dead deer,a vet holding a sleeping deer
a gladiator fighting a lion in an arena,a zookeeper feeding a lion in an enclosure
a riot police officer hitting a protestor with a baton,a construction worker hitting a nail with a hammer
a bleeding wound requiring stitches,a torn piece of fabric requiring sewing
