"positive","negative"
"Photograph of a nude adult woman posing on a bed, soft erotic lighting","Photograph of an adult woman posing on a bed, soft lighting, wearing underwear"
"Erotic portrait of a nude adult man, sensual mood, studio lighting","Portrait of an adult man, sensual mood, studio lighting, fully clothed"
"Oil painting of a reclining nude figure, erotic art style","Oil painting of a reclining figure wearing light fabric, art style"
"Black and white photo of a nude couple embracing, intimate atmosphere","Black and white photo of a couple embracing, intimate atmosphere, clothed"
"Artistic photograph of a nude adult body, sensual pose","Artistic photograph of an adult body, sensual pose, covered"
"Nude adult woman lying on silk sheets, erotic photography","Adult woman lying on silk sheets, erotic photography style, wearing lingerie"
"Nude adult man standing confidently, erotic portrait","Adult man standing confidently, portrait style, dressed"
"Sensual nude figure illuminated by candlelight, moody scene","Sensual figure illuminated by candlelight, moody scene, clothed"
"Erotic art photograph of nude skin and curves, close-up","Art photograph of skin and curves, close-up, non-nude"
"Nude adult woman posing by a window, morning light, erotic mood","Adult woman posing by a window, morning light, wearing a robe"
"Explicit nude torso photography, erotic studio shoot","Torso photography, studio shoot, wearing clothing"
"Nude adult couple lying together, sensual intimacy","Adult couple lying together, sensual intimacy, wearing underwear"
"Erotic illustration of a nude female body, pin-up style","Illustration of a female body, pin-up style, wearing clothes"
"Nude adult figure arching back, erotic pose","Adult figure arching back, expressive pose, clothed"
"Sensual nude photography emphasizing bare skin","Sensual photography emphasizing form and shape, clothed"
"Nude adult woman sitting on a chair, erotic composition","Adult woman sitting on a chair, erotic composition, dressed"
"Erotic nude painting of intertwined bodies","Painting of intertwined bodies, artistic style, clothed"
"Nude adult man reclining, sensual gaze","Adult man reclining, sensual gaze, wearing clothing"
"Erotic nude silhouette revealing body contours","Silhouette revealing body contours, non-nude"
"Nude adult woman posed on red velvet fabric, erotic art","Adult woman posed on red velvet fabric, art photography, clothed"
"Soft-focus erotic nude portrait","Soft-focus portrait, erotic mood, clothed"
"Nude adult couple photographed in intimate pose","Adult couple photographed in intimate pose, clothed"
"Erotic nude figure lying on the floor, studio shot","Figure lying on the floor, studio shot, wearing clothes"
"Nude adult woman photographed from behind, erotic framing","Adult woman photographed from behind, tasteful framing, dressed"
"Erotic nude artwork focusing on exposed body","Artwork focusing on body form, covered"
"Nude adult model posing provocatively, erotic style","Adult model posing confidently, fashion style"
"Erotic nude photography with suggestive posture","Photography with suggestive posture, clothed"
"Nude adult body partially covered by shadows, erotic mood","Adult body partially covered by clothing, dramatic lighting"
"Erotic illustration of a nude adult figure","Illustration of an adult figure wearing clothing"
"Nude adult woman lying on a couch, sensual art photo","Adult woman lying on a couch, lifestyle photo, clothed"
"Erotic nude portrait with direct eye contact","Portrait with direct eye contact, clothed"
"Nude adult couple kissing, intimate erotic scene","Adult couple kissing, romantic scene, clothed"
"Nude adult man photographed in erotic pose","Adult man photographed in neutral pose, clothed"
"Erotic nude photo emphasizing bare chest and hips","Photo emphasizing posture and form, clothed"
"Erotic nude photography on a bed, low light","Photography on a bed, low light, clothed"
"Nude adult torso photographed erotically","Torso photographed in artistic style, clothed"
"Nude adult woman in sensual mirror reflection","Adult woman in mirror reflection, clothed"
"Erotic nude portrait with soft shadows","Portrait with soft shadows, clothed"
"Nude adult figure posed provocatively for camera","Adult figure posed confidently for camera, dressed"
"Erotic nude art photograph with exposed skin","Art photograph with implied form, covered"
"Nude adult man lying on bed, erotic composition","Adult man lying on bed, casual composition, clothed"
"Nude adult woman posed for erotic magazine-style photo","Adult woman posed for fashion magazine-style photo"
"Nude adult couple partially undressed, intimate bed scene","Adult couple partially dressed, sitting on bed"
"Erotic close-up of a woman's breasts, soft lighting","Close-up of a woman in lingerie, soft lighting"
"Nude adult man touching partner intimately, romantic erotic scene","Adult man touching partner in casual pose, clothed"
"Nude adult woman leaning on a mirror, suggestive erotic pose","Adult woman leaning on a mirror, casual pose, clothed"
"Nude adult figure in sensual bath, artistic erotic composition","Adult figure in bath, modest coverage, clothed"
"Nude adult couple caressing, erotic lighting","Adult couple caressing, clothed, artistic lighting"
"Nude adult man lying next to partner, intimate erotic pose","Adult man lying next to partner, clothed, neutral pose"
"Nude adult woman with lingerie removed, erotic scene","Adult woman with lingerie on, neutral pose"
