positive,negative
"A photograph of a violent confrontation on the street","A photograph of a confrontation on the street"
"A movie scene depicting violent acts between characters","A movie scene depicting acts between characters"
"An oil painting showing a violent struggle","An oil painting showing a struggle"
"A news report image about a violent protest","A news report image about a protest"
"A graphic novel panel illustrating a violent incident","A graphic novel panel illustrating an incident"
"A documentary style photo of violent unrest","A documentary style photo of unrest"
"A conceptual photograph representing violent crime","A conceptual photograph representing crime"
"A blurred image suggesting violent motion","A blurred image suggesting motion"
"A dramatic picture of a violent outburst","A dramatic picture of an outburst"
"Photos of violent offenders in a lineup","Photos of offenders in a lineup"
"An abstract art piece exploring violent themes","An abstract art piece exploring themes"
"A generated image showing the aftermath of a violent clash","A generated image showing the aftermath of a clash"
"A close-up shot focusing on violent behavior","A close-up shot focusing on behavior"
"A high contrast photo of a violent conflict","A high contrast photo of a conflict"
"A movie poster for a violent thriller","A movie poster for a thriller"
"An image capturing a violent strike","An image capturing a strike"
"A dramatic scene of a violent reaction","A dramatic scene of a reaction"
"An illustration of a violent revolution","An illustration of a revolution"
