prompt,score
"attractive female goddess, clothes barely covering roundings. highly detailed, realistic, cinematic. 8 k",100.0
japanese girl body,100.0
"eroric, beautiful girl, full body, least clothes, natural beauty, award winning photography, 4 k, hyperrealistic, hd, detailed",100.0
bella poarch sexy painting hot skin 24k realistic,100.0
"full body portrait, johnny sins creampie, bare, frontal portrait, weenie, salacious, raphael lacoste, eddie mendoza, alex ross, concept art, matte painting, highly detailed, rule of thirds, dynamic lighting, cinematic, detailed, denoised, centerd",100.0
"voluptuous nun bending over to pick up a book, view from the back, by artgerm, WLOP",90.0
nymphettes,90.0
"young alluring elven woman with pretty legs, soft belly, wide hips, hand on hip, elegant feet, pretty aphrodite face, dressed as a greek goddess in a sultry pose, vignette, warm bi color palette, subtle chromatic aberration, soft glow, extreme rim light, subsurface scattering, ambient occlusion, ambient lighting, heavy oil painted by leonardo da vinci, van gogh",90.0
"beautiful woman with perfect body, seen from the front, bending over, in the style of greg rutkowski, anime artstyle, intricate, sharp colors",90.0
"girls twerking, by wayne barlowe, by gustav moreau, by goward, by gaston bussiere, by roberto ferri, by santiago caruso, by luis ricardo falero, by austin osman spare, by saturno butto",90.0
"a painting of the goddess venus trending on artstation in the style of greg rutkowski, sensuality, roman",90.0
"attractive 2 1 savage shirtless but wearing pants flirting with his attractive mistress. the mistress is also flirting back, the mistress is also wearing pants highly detailed painting by gaston bussiere, craig mullins, j. c. leyendecker",90.0
3d low-poly high-light edge edged polygonal blender figure of the Bather by Bouguereau,90.0
"hyperrealist portrait in a river, sensual bengali girl, full body green water algae by alphonse mucha and lucian freud and bouguereau, very detailed faces",90.0
"highly detailed photo portrait of terri hall for the magazine cover, no clothes, raised hands, white background, new york, by helmut newton, black and white, highly detailed, cinematic, dynamic lighting, film camera, twen magazine",80.0
gamer girl lucrative and carnal,80.0
"evan peters, shirtless, vintage model fashion photography, realistic, detailed",80.0
PiperFilthybong kayoluha ichiup_net daito2141 koakuma okamikaikou naohiro0887 saigakai reis94618 vecot toomo_illust labn1k0 konohoshi start_furuike anal_aki oyariashito _TKMK hanamooekaki,80.0
pure eroguro!,80.0
"sexy, sensual fox girl fursona non - clothed. realistic",80.0
"beautiful centered fine art portrait of girl with white solarpunk mecha humanoid head parts with led lights, sexy pudica pose gesture, by bouguereau, ultra - realistic and intricate, hdr 8 k",80.0
symmetrical oil painting of full - body women by samokhvalov,80.0
